campaign_id,campaign_objective,platform,ad_placement,device_type,operating_system,creative_format,creative_size,ad_copy_length,has_call_to_action,creative_emotion,creative_age_days,target_audience_age,target_audience_gender,audience_interest_category,income_bracket,purchase_intent_score,retargeting_flag,start_date,quarter,day_of_week,hour_of_day,campaign_day,quality_score,actual_cpc,impressions,clicks,conversions,ad_spend,revenue,bounce_rate,avg_session_duration_seconds,pages_per_session,industry_vertical,budget_tier,CTR,CPC,conversion_rate,CPA,ROAS,profit,ROI,Cost_Per_Conversion,campaign_month
CAMP_00011,Brand Awareness,Twitter,Stories,Mobile,macOS,Story,728x90,Medium,TRUE,Joy,70,25-34,Male,Tech Enthusiasts,$100K-$200K,Medium,TRUE,11-05-2024,2,Saturday,9,27,5,1.38,23844,575,6,793.5,2363.43,60.94,109,2.06,E-commerce,Medium,0.024115081,1.38,0.010434783,132.25,2.98,1569.93,1.978487713,132.25,2024-05
CAMP_00012,Engagement,TikTok,Feed,Mobile,Windows,Image,1080x1080,Medium,FALSE,Joy,20,45-54,Female,Shoppers,$100K-$200K,High,FALSE,08-04-2024,2,Monday,15,51,4,2.46,56208,849,10,2088.54,4805.71,34.81,116,4.54,SaaS,High,0.015104611,2.46,0.011778563,208.85,2.3,2717.17,1.300990165,208.854,2024-04
CAMP_00013,Conversions,Instagram,Feed,Tablet,Windows,Carousel,1920x1080,Short,TRUE,Urgency,26,45-54,All,Gamers,$50K-$100K,Low,TRUE,17-02-2025,1,Monday,1,39,9,0.52,21707,531,8,276.12,1634.77,69.79,50,2.37,Gaming,High,0.024462155,0.52,0.015065913,34.52,5.92,1358.65,4.920505577,34.515,2025-02
CAMP_00014,Lead Generation,Facebook,Feed,Mobile,macOS,Image,300x250,Short,TRUE,Joy,63,18-24,Male,Business Professionals,$100K-$200K,Medium,TRUE,01-09-2025,3,Monday,9,75,4,4.07,5697,84,3,341.88,3956.75,55.94,84,2.87,Finance,Low,0.014744602,4.07,0.035714286,113.96,11.57,3614.87,10.57350532,113.96,2025-09
CAMP_00015,Brand Awareness,Facebook,Feed,Mobile,iOS,Video,1920x1080,Medium,FALSE,Curiosity,19,55-64,Male,Tech Enthusiasts,>$200K,High,FALSE,07-12-2024,4,Saturday,8,34,4,1.72,15688,162,2,278.64,856.4,48.94,81,3.65,SaaS,Low,0.010326364,1.72,0.012345679,139.32,3.07,577.76,2.073499856,139.32,2024-12
CAMP_00016,Brand Awareness,Google Ads,In-Stream Video,Mobile,Android,Carousel,1920x1080,Short,FALSE,Trust,4,25-34,Female,Tech Enthusiasts,$50K-$100K,Low,FALSE,29-10-2024,4,Tuesday,8,65,6,2.28,6811,189,0,430.92,0,84.11,65,2.25,Healthcare,Low,0.027749229,2.28,0,0,0,-430.92,-1,,2024-10
CAMP_00017,Lead Generation,Google Ads,Search,Desktop,Android,Image,728x90,Medium,FALSE,Joy,72,25-34,Female,Students,$50K-$100K,Low,FALSE,17-01-2025,1,Friday,16,36,3,9.3,172410,2196,79,20422.8,25320.91,73.91,40,1.36,Education,High,0.01273708,9.3,0.035974499,258.52,1.24,4898.11,0.23983538,258.5164557,2025-01
CAMP_00018,Lead Generation,Google Ads,Sidebar,Desktop,Android,Carousel,1080x1080,Medium,TRUE,Joy,56,65+,Female,Shoppers,<$50K,Medium,TRUE,17-11-2024,4,Sunday,11,23,8,3,9396,139,11,417,4130.75,53.51,70,2.16,SaaS,Medium,0.014793529,3,0.079136691,37.91,9.91,3713.75,8.9058753,37.90909091,2024-11
CAMP_00019,Lead Generation,Google Ads,Search,Mobile,iOS,Image,1920x1080,Medium,TRUE,Fear,35,18-24,Female,Health & Fitness,$100K-$200K,High,FALSE,04-04-2024,2,Thursday,2,51,6,4,5000,129,6,516,2030.81,36.5,91,4.63,Education,Medium,0.0258,4,0.046511628,86,3.94,1514.81,2.935678295,86,2024-04
CAMP_00020,Lead Generation,Google Ads,Feed,Desktop,macOS,Image,1920x1080,Long,TRUE,Joy,43,25-34,All,Tech Enthusiasts,$100K-$200K,Medium,FALSE,20-03-2024,1,Wednesday,9,26,8,3.21,17648,1073,179,3444.33,85704.87,49.45,125,2.24,Finance,Medium,0.060800091,3.21,0.166821994,19.24,24.88,82260.54,23.88288579,19.24206704,2024-03
CAMP_00021,Conversions,Google Ads,Feed,Tablet,iOS,Image,1080x1080,Medium,TRUE,Trust,84,55-64,Female,Gamers,<$50K,High,FALSE,07-06-2024,2,Friday,6,26,3,7.72,40231,211,13,1628.92,1328.69,27.98,102,5.97,E-commerce,Medium,0.005244712,7.72,0.061611374,125.3,0.82,-300.23,-0.184312305,125.3015385,2024-06
CAMP_00022,Brand Awareness,Google Ads,Feed,Mobile,Other,Carousel,1920x1080,Short,TRUE,Joy,51,25-34,Male,Shoppers,$50K-$100K,Medium,FALSE,05-05-2025,2,Monday,15,37,7,6.2,500000,3225,39,19995,10785.42,49.34,127,2.2,SaaS,Medium,0.00645,6.2,0.012093023,512.69,0.54,-9209.58,-0.460594149,512.6923077,2025-05
CAMP_00023,Lead Generation,Twitter,Feed,Mobile,Windows,Image,1080x1080,Short,FALSE,Fear,26,55-64,Male,Tech Enthusiasts,<$50K,Medium,TRUE,11-03-2024,1,Monday,1,12,5,2.18,22908,366,5,797.88,2410.98,62.55,92,3.34,Healthcare,Medium,0.015976951,2.18,0.013661202,159.58,3.02,1613.1,2.021732591,159.576,2024-03
CAMP_00024,Lead Generation,Google Ads,Search,Mobile,Windows,Carousel,1920x1080,Short,TRUE,Joy,48,25-34,Female,Tech Enthusiasts,>$200K,Medium,FALSE,15-07-2024,3,Monday,2,62,6,2.49,64294,1309,11,3259.41,6450.42,69.77,38,2.86,E-commerce,Medium,0.020359598,2.49,0.008403361,296.31,1.98,3191.01,0.979014607,296.31,2024-07
CAMP_00025,Lead Generation,TikTok,Stories,Mobile,iOS,Video,300x250,Short,TRUE,Trust,32,25-34,All,Gamers,$50K-$100K,Low,FALSE,01-11-2024,4,Friday,20,86,4,1.75,70197,5127,109,8972.25,28016.44,67.39,53,1.37,E-commerce,Medium,0.073037309,1.75,0.021259996,82.31,3.12,19044.19,2.122565689,82.31422018,2024-11
CAMP_00026,Conversions,Google Ads,Stories,Mobile,Android,Carousel,1200x628,Short,TRUE,Urgency,22,18-24,All,Gamers,<$50K,Low,FALSE,02-08-2024,3,Friday,4,38,6,5.59,162124,3577,56,19995.43,29228.1,87.61,14,2.94,Finance,Medium,0.022063359,5.59,0.015655577,357.06,1.46,9232.67,0.461739007,357.06125,2024-08
CAMP_00027,Brand Awareness,Twitter,Feed,Desktop,Android,Image,300x250,Short,TRUE,Joy,51,25-34,Female,Tech Enthusiasts,<$50K,Medium,FALSE,10-12-2024,4,Tuesday,16,58,5,1.41,176750,2609,86,3678.69,12634.5,49.69,234,2.92,Gaming,High,0.014760962,1.41,0.032962821,42.78,3.43,8955.81,2.434510655,42.77546512,2024-12
CAMP_00028,Lead Generation,Twitter,Feed,Mobile,Android,Image,1920x1080,Short,TRUE,Curiosity,32,18-24,All,Gamers,<$50K,Medium,FALSE,14-07-2025,3,Monday,2,29,6,2.15,32575,930,10,1999.5,4152.41,49.74,12,2.65,Healthcare,Medium,0.028549501,2.15,0.010752688,199.95,2.08,2152.91,1.076724181,199.95,2025-07
CAMP_00029,Conversions,LinkedIn,Feed,Desktop,macOS,Video,1920x1080,Short,TRUE,Urgency,84,25-34,Male,Shoppers,$100K-$200K,Low,TRUE,16-05-2025,2,Friday,19,36,4,10.46,18583,404,38,4225.84,25400.83,62.6,10,1.98,SaaS,Low,0.0217403,10.46,0.094059406,111.21,6.01,21174.99,5.010835716,111.2063158,2025-05
CAMP_00030,Brand Awareness,LinkedIn,Feed,Desktop,Android,Image,1920x1080,Medium,TRUE,Urgency,14,35-44,Male,Gamers,$100K-$200K,Medium,FALSE,19-05-2024,2,Sunday,8,67,5,7.67,9847,91,1,697.97,767.85,50.9,187,3.02,SaaS,Low,0.009241393,7.67,0.010989011,697.97,1.1,69.88,0.100118916,697.97,2024-05
CAMP_00031,Conversions,Google Ads,Display Network,Mobile,Android,Image,1080x1080,Medium,TRUE,Fear,76,35-44,All,Students,$50K-$100K,Low,TRUE,31-05-2024,2,Friday,18,74,5,3.56,119196,1936,65,6892.16,59221.69,79.12,16,1.97,Finance,High,0.016242156,3.56,0.03357438,106.03,8.59,52329.53,7.592616828,106.0332308,2024-05
CAMP_00032,Brand Awareness,Instagram,Feed,Desktop,macOS,Video,1080x1080,Short,TRUE,Trust,1,25-34,Male,Students,$50K-$100K,Medium,FALSE,10-09-2025,3,Wednesday,17,77,7,1.13,86222,6897,183,7793.61,25745.14,37.14,136,1.85,Education,Medium,0.079991186,1.13,0.026533275,42.59,3.3,17951.53,2.303365193,42.58803279,2025-09
CAMP_00033,Brand Awareness,Twitter,Search,Tablet,iOS,Interactive,1080x1080,Medium,TRUE,Urgency,43,18-24,Male,Business Professionals,$50K-$100K,Medium,FALSE,22-12-2024,4,Sunday,19,55,5,1.55,5731,139,1,215.45,350.64,42.59,166,1.97,SaaS,Low,0.024254057,1.55,0.007194245,215.45,1.63,135.19,0.627477373,215.45,2024-12
CAMP_00034,Engagement,Twitter,Stories,Mobile,Windows,Carousel,300x250,Short,TRUE,Joy,23,18-24,All,Students,$100K-$200K,High,TRUE,20-05-2024,2,Monday,19,90,6,1.78,18395,666,23,1185.48,7418.17,45.14,112,2.45,SaaS,Low,0.036205491,1.78,0.034534535,51.54,6.26,6232.69,5.257524378,51.5426087,2024-05
CAMP_00035,Engagement,LinkedIn,Feed,Tablet,Windows,Text,300x250,Long,TRUE,Joy,28,25-34,Female,Shoppers,$50K-$100K,Medium,FALSE,03-09-2024,3,Tuesday,15,31,7,4.47,19157,567,10,2534.49,3328,49.88,107,2.43,Education,Low,0.029597536,4.47,0.017636684,253.45,1.31,793.51,0.313084684,253.449,2024-09
CAMP_00036,Conversions,Facebook,Display Network,Desktop,Android,Image,300x250,Short,TRUE,Joy,22,18-24,All,Business Professionals,>$200K,Medium,FALSE,26-08-2025,3,Tuesday,14,41,7,2.83,29669,1062,27,3005.46,8677.57,56.43,44,3.21,E-commerce,Medium,0.035794937,2.83,0.025423729,111.31,2.89,5672.11,1.887268505,111.3133333,2025-08
CAMP_00037,Lead Generation,Twitter,Search,Tablet,macOS,Video,1200x628,Long,TRUE,Joy,49,25-34,Female,Students,$100K-$200K,Medium,TRUE,30-04-2025,2,Wednesday,19,66,6,1.03,36392,797,24,820.91,4355.57,31.91,61,2.43,Gaming,Medium,0.021900418,1.03,0.030112923,34.2,5.31,3534.66,4.305782607,34.20458333,2025-04
CAMP_00038,Brand Awareness,Google Ads,Feed,Desktop,macOS,Image,1080x1080,Short,FALSE,Urgency,10,35-44,Male,Health & Fitness,<$50K,High,FALSE,05-08-2025,3,Tuesday,21,39,4,3.2,51487,640,23,2048,4816.3,38.19,88,4.62,E-commerce,Medium,0.012430322,3.2,0.0359375,89.04,2.35,2768.3,1.351708984,89.04347826,2025-08
CAMP_00039,Conversions,LinkedIn,In-Stream Video,Desktop,Android,Image,1200x628,Long,TRUE,Urgency,61,18-24,Female,Gamers,$100K-$200K,Low,FALSE,17-03-2024,1,Sunday,16,27,4,6.26,5000,37,0,231.62,0,63.11,47,3.27,SaaS,Low,0.0074,6.26,0,0,0,-231.62,-1,,2024-03
CAMP_00040,Lead Generation,Google Ads,Feed,Desktop,Android,Image,1920x1080,Long,TRUE,Urgency,36,45-54,Female,Tech Enthusiasts,<$50K,Medium,TRUE,08-04-2025,2,Tuesday,4,45,5,1.85,75210,1630,74,3015.5,31251.68,60.61,83,2.76,SaaS,Medium,0.02167265,1.85,0.045398773,40.75,10.36,28236.18,9.363680982,40.75,2025-04
CAMP_00041,Brand Awareness,Instagram,Feed,Mobile,Android,Carousel,1080x1080,Short,TRUE,Joy,89,18-24,Male,Shoppers,<$50K,Medium,FALSE,04-05-2025,2,Sunday,19,7,5,1.6,16432,329,1,526.4,497.09,67.11,112,2.09,Healthcare,Low,0.020021908,1.6,0.003039514,526.4,0.94,-29.31,-0.055680091,526.4,2025-05
CAMP_00042,Lead Generation,Google Ads,Display Network,Desktop,Windows,Carousel,320x50,Medium,TRUE,Urgency,32,45-54,All,Tech Enthusiasts,$50K-$100K,Medium,FALSE,21-06-2025,2,Saturday,11,61,7,2.24,168851,4430,98,9923.2,63064.56,61.63,80,2.92,Healthcare,Medium,0.026236149,2.24,0.022121896,101.26,6.36,53141.36,5.355264431,101.2571429,2025-06
CAMP_00043,Brand Awareness,Google Ads,Search,Mobile,Windows,Video,1920x1080,Short,TRUE,Urgency,23,25-34,Male,Gamers,<$50K,Low,TRUE,30-08-2025,3,Saturday,3,77,8,5.49,54524,2674,31,14680.26,17313.01,64.66,27,1.63,Healthcare,Medium,0.049042623,5.49,0.011593119,473.56,1.18,2632.75,0.179339467,473.5567742,2025-08
CAMP_00044,App Installs,LinkedIn,Feed,Desktop,iOS,Carousel,1920x1080,Short,TRUE,Trust,83,35-44,Male,Shoppers,$50K-$100K,Low,FALSE,06-02-2024,1,Tuesday,4,31,5,11.88,7260,137,3,1627.56,1712.75,72.97,74,2.19,Healthcare,High,0.018870523,11.88,0.02189781,542.52,1.05,85.19,0.052342156,542.52,2024-02
CAMP_00045,Lead Generation,TikTok,Feed,Desktop,iOS,Image,1080x1080,Short,TRUE,Joy,46,35-44,Male,Gamers,$100K-$200K,Medium,FALSE,01-08-2025,3,Friday,18,69,7,0.8,74932,1552,58,1241.6,45187.49,41.99,113,2.34,Finance,Low,0.020712112,0.8,0.037371134,21.41,36.39,43945.89,35.39456347,21.40689655,2025-08
CAMP_00046,Conversions,LinkedIn,Display Network,Mobile,macOS,Image,1920x1080,Medium,FALSE,Trust,17,25-34,Female,Health & Fitness,$50K-$100K,Low,FALSE,23-07-2024,3,Tuesday,6,40,3,6.16,18241,126,0,776.16,0,74.26,152,3.37,Healthcare,Medium,0.006907516,6.16,0,0,0,-776.16,-1,,2024-07
CAMP_00047,Lead Generation,Google Ads,Feed,Desktop,Android,Video,1200x628,Short,FALSE,Fear,53,35-44,Female,Business Professionals,$50K-$100K,Medium,FALSE,24-11-2025,4,Monday,2,36,5,4.97,26871,1106,118,5496.82,97322.07,40.69,172,1,Finance,Medium,0.041159614,4.97,0.106690778,46.58,17.71,91825.25,16.70515862,46.58322034,2025-11
CAMP_00048,Lead Generation,Google Ads,Feed,Mobile,Windows,Image,1920x1080,Medium,FALSE,Curiosity,52,25-34,Male,Gamers,$50K-$100K,High,FALSE,26-04-2024,2,Friday,8,68,5,3.84,35780,516,11,1981.44,3140.26,48.72,104,4.94,Healthcare,Medium,0.014421465,3.84,0.021317829,180.13,1.58,1158.82,0.58483729,180.1309091,2024-04
CAMP_00049,Lead Generation,TikTok,Stories,Mobile,macOS,Carousel,1200x628,Medium,FALSE,Joy,50,35-44,Female,Business Professionals,<$50K,Medium,FALSE,09-04-2025,2,Wednesday,1,42,5,0.67,72882,922,5,617.74,616.58,46.35,114,1.93,Gaming,High,0.012650586,0.67,0.005422993,123.55,1,-1.16,-0.001877813,123.548,2025-04
CAMP_00050,Brand Awareness,Instagram,In-Stream Video,Tablet,Android,Carousel,1920x1080,Short,FALSE,Urgency,42,45-54,Male,Students,$100K-$200K,Medium,FALSE,02-11-2024,4,Saturday,17,81,4,3.91,85584,1313,5,5133.83,3867.59,43.36,99,2.52,Healthcare,Medium,0.015341653,3.91,0.003808073,1026.77,0.75,-1266.24,-0.246646266,1026.766,2024-11
CAMP_00051,Engagement,TikTok,Feed,Mobile,Windows,Image,1080x1080,Short,FALSE,Trust,54,18-24,Male,Business Professionals,$50K-$100K,High,TRUE,23-02-2025,1,Sunday,19,12,3,0.57,5000,29,0,16.53,0,40.34,67,5.92,Finance,Low,0.0058,0.57,0,0,0,-16.53,-1,,2025-02
CAMP_00052,Conversions,Facebook,Display Network,Tablet,iOS,Carousel,1080x1080,Medium,TRUE,Trust,62,18-24,All,Business Professionals,$50K-$100K,Low,TRUE,15-09-2024,3,Sunday,8,15,7,0.86,29151,865,28,743.9,9671.13,62.31,53,3.3,E-commerce,Low,0.029673082,0.86,0.032369942,26.57,13,8927.23,12.00057803,26.56785714,2024-09
CAMP_00053,Engagement,Twitter,Search,Mobile,Other,Video,1920x1080,Short,TRUE,Urgency,24,35-44,Female,Students,<$50K,Medium,FALSE,25-09-2024,3,Wednesday,21,21,7,1.85,388220,10810,96,19998.5,45044.98,60.35,130,2.44,SaaS,Medium,0.027845036,1.85,0.008880666,208.32,2.25,25046.48,1.252417931,208.3177083,2024-09
CAMP_00054,App Installs,Facebook,Stories,Tablet,iOS,Text,1080x1080,Short,TRUE,Neutral,57,65+,Female,Health & Fitness,$100K-$200K,Medium,FALSE,03-07-2024,3,Wednesday,2,28,6,0.74,36081,168,3,124.32,583.31,41.49,86,2.79,E-commerce,Medium,0.00465619,0.74,0.017857143,41.44,4.69,458.99,3.692004505,41.44,2024-07
CAMP_00055,Conversions,Facebook,Search,Desktop,Android,Image,300x250,Medium,FALSE,Curiosity,6,25-34,Female,Tech Enthusiasts,>$200K,Medium,TRUE,17-11-2024,4,Sunday,14,63,7,0.87,198049,2984,67,2596.08,65638.74,39.57,59,1.21,Finance,High,0.015066978,0.87,0.022453083,38.75,25.28,63042.66,24.28378941,38.74746269,2024-11
CAMP_00056,App Installs,Facebook,Sidebar,Mobile,Android,Carousel,1080x1080,Short,TRUE,Joy,83,45-54,Female,Shoppers,$100K-$200K,Medium,FALSE,25-08-2025,3,Monday,21,37,4,3.37,84815,810,10,2729.7,7428.81,65.65,54,2.87,SaaS,High,0.009550197,3.37,0.012345679,272.97,2.72,4699.11,1.721474887,272.97,2025-08
CAMP_00057,Brand Awareness,Facebook,Feed,Mobile,Windows,Image,728x90,Short,TRUE,Trust,83,25-34,Male,Health & Fitness,<$50K,Low,FALSE,13-11-2024,4,Wednesday,11,7,3,1.25,53827,389,2,486.25,631.72,65.06,39,1.45,Healthcare,High,0.007226856,1.25,0.005141388,243.12,1.3,145.47,0.299167095,243.125,2024-11
CAMP_00058,Brand Awareness,TikTok,Feed,Desktop,iOS,Video,728x90,Long,TRUE,Trust,76,25-34,Male,Students,>$200K,Medium,FALSE,12-06-2024,2,Wednesday,19,7,5,1.97,35921,1239,18,2440.83,23653.43,57.9,29,1.38,Healthcare,Low,0.034492358,1.97,0.014527845,135.6,9.69,21212.6,8.690732251,135.6016667,2024-06
CAMP_00059,Brand Awareness,Facebook,In-Stream Video,Mobile,Android,Image,1920x1080,Long,FALSE,Joy,32,35-44,Female,Business Professionals,$50K-$100K,High,TRUE,01-10-2025,4,Wednesday,9,69,5,0.76,11383,181,4,137.56,2979.55,39.01,145,3.26,Finance,Medium,0.015900905,0.76,0.022099448,34.39,21.66,2841.99,20.66000291,34.39,2025-10
CAMP_00060,Lead Generation,Facebook,Search,Mobile,Android,Image,728x90,Long,FALSE,Fear,25,25-34,All,Tech Enthusiasts,$100K-$200K,Medium,FALSE,05-09-2024,3,Thursday,11,81,4,0.96,129886,1059,7,1016.64,904.31,63.12,95,3.04,Gaming,Low,0.008153304,0.96,0.006610009,145.23,0.89,-112.33,-0.110491423,145.2342857,2024-09
CAMP_00061,Lead Generation,Google Ads,Stories,Mobile,Android,Image,320x50,Short,TRUE,Neutral,64,25-34,Female,Tech Enthusiasts,$50K-$100K,Medium,FALSE,17-11-2025,4,Monday,16,32,7,3.86,62056,2232,171,8615.52,20747.88,51.09,74,2.17,E-commerce,High,0.035967513,3.86,0.076612903,50.38,2.41,12132.36,1.408198228,50.38315789,2025-11
CAMP_00062,Lead Generation,Google Ads,Search,Desktop,Windows,Video,300x250,Short,TRUE,Neutral,4,25-34,All,Gamers,$50K-$100K,Medium,FALSE,30-04-2025,2,Wednesday,5,52,6,1.56,120733,6061,658,9455.16,284523.42,38.77,116,2.3,SaaS,Medium,0.050201685,1.56,0.108562943,14.37,30.09,275068.26,29.0918673,14.36954407,2025-04
CAMP_00063,Conversions,LinkedIn,Search,Mobile,iOS,Carousel,1920x1080,Medium,FALSE,Joy,39,25-34,Male,Students,<$50K,High,FALSE,19-10-2024,4,Saturday,18,86,4,8.06,452915,3258,42,26259.48,22233.06,32.52,180,3.18,Finance,High,0.007193403,8.06,0.012891344,625.23,0.85,-4026.42,-0.153332054,625.2257143,2024-10
CAMP_00064,Lead Generation,Google Ads,Display Network,Desktop,Windows,Video,1920x1080,Long,TRUE,Joy,2,45-54,Male,Business Professionals,>$200K,Medium,TRUE,06-12-2024,4,Friday,5,74,8,7.48,58675,2673,336,19994.04,273916.19,36.87,170,3,SaaS,Medium,0.045556029,7.48,0.125701459,59.51,13.7,253922.15,12.69989207,59.50607143,2024-12
CAMP_00065,Lead Generation,Google Ads,In-Stream Video,Mobile,macOS,Interactive,728x90,Short,TRUE,Joy,23,25-34,Female,Business Professionals,<$50K,Medium,FALSE,25-08-2025,3,Monday,20,25,6,7.52,5413,168,2,1263.36,196.05,62.34,67,2.82,E-commerce,Medium,0.031036394,7.52,0.011904762,631.68,0.16,-1067.31,-0.844818579,631.68,2025-08
CAMP_00066,Lead Generation,LinkedIn,Stories,Desktop,macOS,Video,1920x1080,Long,FALSE,Trust,71,55-64,Male,Business Professionals,$100K-$200K,High,FALSE,03-07-2025,3,Thursday,8,73,3,3.54,9500,73,7,258.42,6286.06,19.24,124,4.63,Healthcare,Low,0.007684211,3.54,0.095890411,36.92,24.32,6027.64,23.32497485,36.91714286,2025-07
CAMP_00067,Brand Awareness,LinkedIn,Feed,Desktop,Windows,Story,1920x1080,Medium,TRUE,Curiosity,84,18-24,Male,Shoppers,$50K-$100K,Medium,TRUE,24-01-2025,1,Friday,13,75,6,10.45,15906,428,16,4472.6,8532.91,51.88,101,2.97,SaaS,Low,0.026908085,10.45,0.037383178,279.54,1.91,4060.31,0.907818718,279.5375,2025-01
CAMP_00068,Conversions,TikTok,Search,Desktop,Android,Story,1080x1080,Long,TRUE,Urgency,36,18-24,Male,Students,$50K-$100K,Medium,FALSE,03-11-2025,4,Monday,8,47,6,1.85,12268,346,13,640.1,3085.49,51.1,60,2.12,Education,Low,0.028203456,1.85,0.037572254,49.24,4.82,2445.39,3.820324949,49.23846154,2025-11
CAMP_00069,Brand Awareness,Facebook,Stories,Mobile,Android,Image,1920x1080,Short,TRUE,Joy,60,18-24,Female,Students,$100K-$200K,Medium,FALSE,24-09-2024,3,Tuesday,13,49,7,0.85,36566,581,2,493.85,1329.72,60.64,95,3.77,SaaS,Medium,0.015889077,0.85,0.003442341,246.92,2.69,835.87,1.692558469,246.925,2024-09
CAMP_00070,Engagement,Twitter,Search,Tablet,Other,Story,1080x1080,Short,TRUE,Urgency,53,45-54,All,Shoppers,$50K-$100K,High,FALSE,03-04-2024,2,Wednesday,11,3,7,1.71,7525,79,0,135.09,0,41.29,141,2.99,Healthcare,Low,0.010498339,1.71,0,0,0,-135.09,-1,,2024-04
CAMP_00071,Conversions,Instagram,Stories,Desktop,macOS,Text,1920x1080,Medium,FALSE,Urgency,17,18-24,Male,Tech Enthusiasts,$50K-$100K,Low,FALSE,10-10-2025,4,Friday,5,6,5,1.74,5000,179,5,311.46,2278.28,41.35,126,3.19,Finance,Low,0.0358,1.74,0.027932961,62.29,7.31,1966.82,6.314839787,62.292,2025-10
